"","Hot To-Go Cups","Cold To-Go Cups","Plastic Bags","Paper Bags","Black Plastic Containers","Other Colour Plastic Containers","Disposable Cutlery","Plastic Straws","Styrofoam Containers"
"336","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","Every day or almost every day","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month"
"337","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week"
"338","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month","A couple times a week","A couple times a month"
"339","A couple times a month","Never","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"340","A couple times a year or less","Never","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"341","A couple times a year or less","Never","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"342","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month"
"343","A couple times a week","A couple times a month","Never","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less"
"344","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","Every day or almost every day","A couple times a month","A couple times a month"
"345","A couple times a month","Never","A couple times a month","Never","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week"
"346","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"347","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"348","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"349","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"350","A couple times a month","Never","Every day or almost every day","A couple times a year or less","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a month"
"351","Never","Never","Every day or almost every day","Never","Never","A couple times a week","Never","Never","Never"
"352","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"353","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","Never","A couple times a year or less","A couple times a month"
"354","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week"
"355","Never","Never","Never","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","Never","Never"
"356","Every day or almost every day","A couple times a month","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month"
"357","Never","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"358","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month"
"359","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"360","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a month","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a month"
"361","Every day or almost every day","A couple times a month","A couple times a week","Never","A couple times a week","A couple times a week","Every day or almost every day","Never","A couple times a week"
"362","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"363","Never","Never","A couple times a month","A couple times a year or less","A couple times a month","Never","A couple times a month","A couple times a month","A couple times a year or less"
"364","A couple times a year or less","A couple times a year or less","Every day or almost every day","A couple times a year or less","A couple times a year or less","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a year or less"
"365","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a week"
"366","Every day or almost every day","Every day or almost every day","Never","Never","Never","A couple times a week","A couple times a month","A couple times a month","Never"
"367","Every day or almost every day","A couple times a year or less","A couple times a week","Never","A couple times a month","A couple times a week","A couple times a year or less","Never","A couple times a month"
"368","A couple times a week","Every day or almost every day","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a week"
"369","A couple times a week","A couple times a month","A couple times a week","Never","Every day or almost every day","A couple times a week","A couple times a month","Never","A couple times a year or less"
"370","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less"
"371","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a month"
"372","A couple times a week","A couple times a month","Every day or almost every day","A couple times a week","A couple times a year or less","A couple times a month","Every day or almost every day","A couple times a week","Every day or almost every day"
"373","Never","Never","A couple times a year or less","A couple times a week","Never","Never","Never","Never","Never"
"374","A couple times a month","A couple times a month","A couple times a month","Never","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","Never"
"375","A couple times a week","A couple times a month","Every day or almost every day","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","Never"
"376","A couple times a year or less","Never","Never","Never","A couple times a year or less","A couple times a year or less","Never","Never","A couple times a year or less"
"377","Never","Never","A couple times a week","A couple times a week","Never","Never","Never","Never","A couple times a month"
"378","A couple times a year or less","Never","A couple times a year or less","A couple times a month","Never","Never","Never","Never","Never"
"379","A couple times a week","Never","A couple times a week","Never","Never","A couple times a month","A couple times a month","Never","Never"
"380","Every day or almost every day","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"381","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"382","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a week"
"383","A couple times a month","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less"
"384","Every day or almost every day","A couple times a week","Every day or almost every day","Never","Never","Every day or almost every day","A couple times a year or less","A couple times a week","Never"
"385","Never","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less","Never","A couple times a year or less"
"386","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"387","A couple times a month","A couple times a week","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less"
"388","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less"
"389","Every day or almost every day","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"390","A couple times a week","A couple times a month","A couple times a week","A couple times a week","Never","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less"
"391","Never","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never"
"392","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month"
"393","A couple times a year or less","Never","Every day or almost every day","A couple times a year or less","A couple times a month","Every day or almost every day","Never","Every day or almost every day","A couple times a year or less"
"394","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","Never"
"395","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a week","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day"
