"","Hot To-Go Cups","Cold To-Go Cups","Plastic Bags","Paper Bags","Black Plastic Containers","Other Colour Plastic Containers","Disposable Cutlery","Plastic Straws","Styrofoam Containers"
"2","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a week"
"3","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","Never"
"4","A couple times a week","A couple times a month","Every day or almost every day","Never","A couple times a month","Every day or almost every day","A couple times a month","A couple times a month","A couple times a year or less"
"5","A couple times a year or less","Never","A couple times a month","A couple times a week","A couple times a year or less","A couple times a week","Never","Never","A couple times a year or less"
"6","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less"
"7","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less"
"8","A couple times a month","A couple times a month","A couple times a week","Never","A couple times a year or less","Never","Never","Never","Never"
"9","Never","Never","A couple times a month","Never","A couple times a week","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less"
"10","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month"
"11","A couple times a week","A couple times a month","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month"
"12","Never","Never","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","Never","Never","A couple times a year or less"
"13","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less"
"14","A couple times a year or less","A couple times a year or less","Never","A couple times a month","A couple times a month","Every day or almost every day","Never","Never","A couple times a month"
"15","A couple times a week","A couple times a week","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","Never"
"16","A couple times a month","Never","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","Never","Never","Never"
"17","A couple times a month","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"18","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week"
"19","A couple times a month","Never","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month"
"20","A couple times a year or less","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less"
"21","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","Never","A couple times a week"
"22","A couple times a week","A couple times a week","Every day or almost every day","A couple times a month","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a month"
"23","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month"
"24","A couple times a month","A couple times a month","Every day or almost every day","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a week"
"25","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","Never","Never","A couple times a year or less"
"26","A couple times a year or less","Never","A couple times a week","A couple times a month","Never","Never","Never","Never","Never"
"27","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","Never","Never","Never","Never","Never"
"28","A couple times a month","Never","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"29","A couple times a month","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month"
"30","A couple times a year or less","Never","A couple times a week","A couple times a month","Never","Never","Never","A couple times a month","A couple times a year or less"
"31","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","A couple times a month","A couple times a week"
"32","A couple times a month","Never","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"33","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","Never","A couple times a year or less"
"34","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"35","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day"
"36","A couple times a year or less","Never","A couple times a year or less","Never","Never","A couple times a year or less","Never","Never","Never"
"37","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","A couple times a month"
"38","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less"
"39","A couple times a month","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"40","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a month"
"41","A couple times a month","A couple times a year or less","A couple times a week","A couple times a week","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"42","Every day or almost every day","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"43","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a week","Never","A couple times a year or less"
"44","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month","A couple times a week","Never","Never","A couple times a year or less"
"45","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"46","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","A couple times a year or less"
"47","Never","Never","Every day or almost every day","A couple times a month","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a year or less","A couple times a month"
"48","A couple times a week","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a month"
"49","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","Every day or almost every day","A couple times a week","Never","Never"
"50","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less"
"51","Never","Never","Never","Never","Never","A couple times a year or less","A couple times a year or less","Never","Never"
"52","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"53","Every day or almost every day","Never","A couple times a week","A couple times a month","Never","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less"
"54","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"55","A couple times a year or less","A couple times a month","A couple times a week","Never","Every day or almost every day","Every day or almost every day","A couple times a month","Every day or almost every day","A couple times a month"
"56","Every day or almost every day","Never","A couple times a month","A couple times a week","Never","A couple times a week","A couple times a week","Never","Never"
"57","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a week","Never","Every day or almost every day","Never"
"58","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less"
"59","A couple times a week","A couple times a week","Never","Never","Never","A couple times a month","Never","Never","Never"
"60","Never","A couple times a month","A couple times a week","Never","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"61","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a week"
"62","A couple times a week","A couple times a week","Every day or almost every day","A couple times a month","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month"
"63","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a week"
"64","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never","A couple times a year or less"
"65","Every day or almost every day","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less"
"66","Never","Never","Every day or almost every day","A couple times a week","A couple times a month","Every day or almost every day","Never","Never","Never"
"67","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a week"
"68","Never","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","Never","A couple times a month"
"69","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month"
"70","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","Never","A couple times a year or less"
"71","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","Never","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less"
"72","A couple times a month","Never","A couple times a month","Never","A couple times a month","A couple times a week","Never","Never","Never"
"73","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"74","Every day or almost every day","A couple times a month","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month"
"75","A couple times a year or less","Never","A couple times a week","A couple times a month","A couple times a month","A couple times a month","Never","A couple times a year or less","A couple times a month"
"76","Never","A couple times a year or less","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month"
"77","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month"
"78","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less"
"79","A couple times a month","A couple times a year or less","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less"
"80","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month"
"81","A couple times a month","A couple times a week","A couple times a week","Every day or almost every day","A couple times a month","A couple times a week","A couple times a month","Every day or almost every day","A couple times a week"
"82","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"83","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a week","Every day or almost every day","A couple times a year or less","A couple times a month"
"84","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"85","Every day or almost every day","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month"
"86","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","Never","Never"
"87","Every day or almost every day","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month"
"88","A couple times a week","A couple times a year or less","Never","A couple times a month","Never","A couple times a month","A couple times a month","Never","Never"
"89","A couple times a week","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never"
"90","A couple times a week","A couple times a month","Every day or almost every day","Never","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month"
"91","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month"
"92","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"93","A couple times a week","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a month","Never","Never","A couple times a year or less"
"94","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"95","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a year or less"
"96","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","Never","Never"
"97","A couple times a month","A couple times a month","A couple times a week","Never","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less","Never"
"98","A couple times a week","A couple times a week","A couple times a week","Never","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a week"
"99","Never","Never","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","Never","Never","A couple times a year or less"
"100","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month"
"101","A couple times a month","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month"
"102","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"103","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"104","Never","Never","A couple times a month","A couple times a year or less","Never","A couple times a month","Never","Never","A couple times a year or less"
"105","A couple times a month","A couple times a month","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less"
"106","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"107","Every day or almost every day","A couple times a month","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"108","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week"
"109","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"110","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"111","A couple times a week","Never","Never","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less"
"112","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"113","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"114","A couple times a week","A couple times a month","A couple times a week","Never","Never","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month"
"115","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a month"
"116","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less"
"117","A couple times a week","A couple times a month","Every day or almost every day","A couple times a year or less","Never","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"118","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"119","A couple times a month","A couple times a month","Every day or almost every day","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a month","A couple times a month","A couple times a week"
"120","A couple times a week","A couple times a week","A couple times a month","Never","A couple times a month","A couple times a month","A couple times a week","Never","A couple times a week"
"121","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"122","A couple times a year or less","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","Never","A couple times a year or less"
"123","Every day or almost every day","A couple times a year or less","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less"
"124","A couple times a week","A couple times a month","A couple times a year or less","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less"
"125","Never","Never","A couple times a year or less","Never","Never","Never","Never","Never","Never"
"126","A couple times a month","A couple times a month","Every day or almost every day","A couple times a month","Every day or almost every day","Every day or almost every day","A couple times a month","A couple times a week","A couple times a month"
"127","Never","A couple times a year or less","A couple times a week","Never","A couple times a year or less","A couple times a week","Never","Never","A couple times a year or less"
"128","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less","Never","A couple times a month","A couple times a year or less","A couple times a year or less","Never"
"129","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month"
"130","A couple times a month","Never","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","Never","A couple times a week"
"131","Every day or almost every day","A couple times a week","A couple times a week","Never","A couple times a year or less","A couple times a year or less","Every day or almost every day","A couple times a month","Never"
"132","A couple times a month","A couple times a year or less","A couple times a week","Never","A couple times a week","Every day or almost every day","A couple times a month","A couple times a year or less","A couple times a year or less"
"133","Every day or almost every day","A couple times a year or less","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a month"
"134","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a week","Every day or almost every day","Never","Never","A couple times a year or less"
"135","A couple times a month","A couple times a month","Every day or almost every day","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a month"
"136","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"137","A couple times a year or less","Never","A couple times a week","Never","A couple times a week","A couple times a week","Never","Never","A couple times a year or less"
"138","A couple times a year or less","Never","A couple times a week","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month"
"139","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","Never","A couple times a year or less"
"140","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less"
"141","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less"
"142","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less"
"143","Never","Never","A couple times a year or less","Never","Never","A couple times a month","A couple times a month","Never","Never"
"144","A couple times a year or less","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month"
"145","Every day or almost every day","A couple times a month","Every day or almost every day","A couple times a month","Never","Every day or almost every day","A couple times a month","Every day or almost every day","Every day or almost every day"
"146","Every day or almost every day","A couple times a week","A couple times a month","A couple times a year or less","Never","Never","A couple times a month","A couple times a week","A couple times a year or less"
"147","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a week","A couple times a week"
"148","Every day or almost every day","Never","A couple times a week","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less"
"149","A couple times a week","Never","A couple times a month","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"150","Never","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never","Never"
"151","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a week"
"152","A couple times a month","Never","A couple times a month","Never","A couple times a month","A couple times a week","Never","Never","A couple times a week"
"153","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a week"
"154","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a week"
"155","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a week"
"156","Never","A couple times a year or less","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month"
"157","A couple times a week","A couple times a year or less","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less"
"158","A couple times a week","Never","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"159","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","Never","Never","A couple times a year or less"
"160","A couple times a week","A couple times a week","Every day or almost every day","A couple times a month","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month"
"161","Every day or almost every day","Never","Every day or almost every day","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"162","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month"
"163","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","Never","A couple times a week","A couple times a year or less","Never","Never"
"164","Never","A couple times a week","Every day or almost every day","A couple times a month","Never","A couple times a week","A couple times a week","A couple times a month","Never"
"165","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month"
"166","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"167","A couple times a week","Never","A couple times a month","Never","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month"
"168","A couple times a month","A couple times a year or less","Every day or almost every day","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month"
"169","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never","A couple times a year or less"
"170","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","Never","A couple times a year or less","Never","Never"
"171","Never","A couple times a month","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month"
"172","A couple times a week","A couple times a month","Every day or almost every day","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a week"
"173","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","Never","A couple times a year or less"
"174","Never","Never","Never","A couple times a year or less","A couple times a year or less","A couple times a week","Never","Never","Never"
"175","A couple times a month","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less"
"176","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","Every day or almost every day","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"177","Never","Never","Never","A couple times a year or less","Never","Never","Never","Never","A couple times a year or less"
"178","Never","Never","Never","Never","A couple times a month","A couple times a week","Never","Never","A couple times a year or less"
"179","Never","A couple times a month","A couple times a week","Never","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"180","A couple times a week","A couple times a week","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month"
"181","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"182","Every day or almost every day","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month"
"183","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","Never","A couple times a month","Never","A couple times a year or less","A couple times a year or less"
"184","Every day or almost every day","A couple times a month","A couple times a month","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month"
"185","A couple times a month","Never","A couple times a week","Never","A couple times a month","A couple times a month","Never","Never","A couple times a year or less"
"186","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a week"
"187","A couple times a month","Never","A couple times a month","Never","A couple times a year or less","Never","A couple times a month","A couple times a month","A couple times a month"
"188","Never","Never","Never","Never","Never","Never","Never","A couple times a month","Never"
"189","A couple times a year or less","Never","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month"
"190","A couple times a month","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a month","Every day or almost every day","A couple times a month","A couple times a year or less","Never"
"191","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month"
"192","A couple times a week","Never","A couple times a year or less","A couple times a month","A couple times a year or less","Never","Never","Never","Never"
"193","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"194","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a month"
"195","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month"
"196","A couple times a year or less","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"197","A couple times a week","Never","A couple times a week","A couple times a year or less","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a month","A couple times a month"
"198","Never","A couple times a month","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less"
"199","Never","Never","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less","Never","A couple times a year or less"
"200","A couple times a year or less","A couple times a month","A couple times a week","A couple times a year or less","A couple times a week","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month"
"201","A couple times a month","Never","A couple times a week","A couple times a year or less","A couple times a month","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a month"
